i,zad,N,np,real_N,time
5,2,2000,15,2010,10.651117210043594
5,2,2000,16,2000,10.245049898978323
5,2,2000,17,2006,10.485983720980585
5,2,2000,18,2016,10.662572661181912
5,2,2000,19,2014,10.06145890802145
5,2,2000,20,2000,5.091894380981103
5,2,300,1,300,1.4372540730983019
5,2,300,2,300,1.117874062852934
5,2,300,3,300,0.5574858279433101
5,2,300,4,300,0.5784293040633202
5,2,300,5,300,0.4637042419053614
5,2,300,6,300,0.49042691104114056
5,2,300,7,301,0.3723910271655768
5,2,300,8,304,0.36640289588831365
5,2,300,9,306,0.3026836831122637
5,2,300,10,300,0.3833479799795896
5,2,300,11,308,0.35241999896243215
5,2,300,12,300,0.38917256402783096
5,2,300,13,312,0.36515735904686153
5,2,300,14,308,0.3382372329942882
5,2,300,15,300,0.3380487619433552
5,2,300,16,304,0.3196508788969368
5,2,300,17,306,0.31505112000741065
5,2,300,18,306,0.34306334401480854
5,2,300,19,304,0.32565849809907377
5,2,300,20,300,0.16957695502787828
5,2,50,1,50,0.11394846299663186
5,2,50,2,50,0.10294351098127663
5,2,50,3,51,0.03574683703482151
5,2,50,4,52,0.06955385603941977
5,2,50,5,50,0.03412326495163143
5,2,50,6,54,0.05202340008690953
5,2,50,7,56,0.06024661590345204
5,2,50,8,56,0.06094572017900646
5,2,50,9,54,0.06509908195585012
5,2,50,10,50,0.02714442298747599
5,2,50,11,55,0.03927709092386067
5,2,50,12,60,0.07000806601718068
5,2,50,13,52,0.07051403308287263
5,2,50,14,56,0.08902907115407288
5,2,50,15,60,0.07915428304113448
5,2,50,16,64,0.08524200087413192
5,2,50,17,51,0.08573756599798799
5,2,50,18,54,0.13807663484476507
5,2,50,19,57,0.1781308010686189
5,2,50,20,60,0.04163083387538791
6,2,2000,1,2000,56.858365717111155
6,2,2000,2,2000,40.93768442492001
6,2,2000,3,2001,19.999801516067237
6,2,2000,4,2000,18.752951300004497
6,2,2000,5,2000,12.709782365011051
6,2,2000,6,2004,12.512398786144331
6,2,2000,7,2002,9.398139521013945
6,2,2000,8,2000,9.418424932984635
6,2,2000,9,2007,7.344915790949017
6,2,2000,10,2000,8.226506951032206
6,2,2000,11,2002,8.006539897993207
6,2,2000,12,2004,7.938652514945716
6,2,2000,13,2002,6.771106154890731
6,2,2000,14,2002,12.041029139887542
