i,zad,N,np,real_N,time
2,2,500,3,501,1.7420415338128805
2,2,500,2,500,4.058881213888526
2,2,500,1,500,5.2735215444117785
2,2,50,12,60,0.04447597451508045
2,2,50,11,55,0.07079608924686909
2,2,50,10,50,0.08903620578348637
2,2,50,9,54,0.11448394134640694
2,2,50,8,56,0.1384816076606512
2,2,50,7,56,0.08075778558850288
2,2,50,6,54,0.04027405008673668
2,2,50,5,50,0.04568863287568092
2,2,50,4,52,0.053436849266290665
2,2,50,3,51,0.05494355596601963
2,2,50,2,50,0.06248459964990616
2,2,50,1,50,0.08559132181107998
3,2,2500,12,2508,14.016336357221007
3,2,2500,11,2508,27.32800860144198
3,2,2500,10,2500,31.409767461940646
3,2,2500,9,2502,32.559779327362776
3,2,2500,8,2504,40.33685429394245
3,2,2500,7,2506,43.37277573347092
3,2,2500,6,2502,28.125969901680946
3,2,2500,5,2500,33.69436769746244
3,2,2500,4,2500,38.53945088759065
3,2,2500,3,2502,49.57484867423773
3,2,2500,2,2500,90.95380310155451
3,2,2500,1,2500,126.65998855605721
3,2,500,12,504,0.6628475729376078
3,2,500,11,506,1.301985451951623
3,2,500,10,500,1.3302202187478542
3,2,500,9,504,1.6466597188264132
3,2,500,8,504,1.643300050869584
3,2,500,7,504,1.668815042823553
3,2,500,6,504,1.345819029957056
3,2,500,5,500,1.2541426103562117
3,2,500,4,500,1.7765564247965813
3,2,500,3,501,1.5897570308297873
3,2,500,2,500,4.52297537215054
3,2,500,1,500,4.9350278321653605
3,2,50,12,60,0.04281800240278244
3,2,50,11,55,0.07630422152578831
3,2,50,10,50,0.09581722877919674
3,2,50,9,54,0.09522570669651031
3,2,50,8,56,0.09013006836175919
3,2,50,7,56,0.09412718750536442
3,2,50,6,54,0.03998768888413906
3,2,50,5,50,0.05145099200308323
3,2,50,4,52,0.04605187475681305
3,2,50,3,51,0.050427814945578575
3,2,50,2,50,0.05765306390821934
3,2,50,1,50,0.09443721361458302
4,2,2500,12,2508,13.548183515667915
4,2,2500,11,2508,27.091873103752732
4,2,2500,10,2500,36.47685357555747
4,2,2500,9,2502,34.179729361087084
4,2,2500,8,2504,40.96964189782739
4,2,2500,7,2506,43.94449769333005
4,2,2500,6,2502,29.39687679708004
4,2,2500,5,2500,29.69368869997561
4,2,2500,4,2500,39.716366808861494
4,2,2500,3,2502,49.848278714343905
4,2,2500,2,2500,112.8774925917387
4,2,2500,1,2500,128.6482910476625
4,2,500,12,504,0.6823113411664963
4,2,500,11,506,1.3250655122101307
4,2,500,10,500,1.302840881049633
4,2,500,9,504,1.4027067627757788
4,2,500,8,504,1.7768773883581161
4,2,500,7,504,2.0769091565161943
4,2,500,6,504,1.1605194583535194
4,2,500,5,500,1.2057752590626478
4,2,500,4,500,1.857272483408451
4,2,500,3,501,2.3420147355645895
4,2,500,2,500,4.719036718830466
4,2,500,1,500,5.907883755862713
4,2,50,12,60,0.06129525601863861
4,2,50,11,55,0.09143686480820179
4,2,50,10,50,0.11345993541181087
4,2,50,9,54,0.09445713646709919
4,2,50,8,56,0.17152388021349907
4,2,50,7,56,0.09768666699528694
4,2,50,6,54,0.05296497419476509
4,2,50,5,50,0.050360288470983505
4,2,50,4,52,0.03933173790574074
4,2,50,3,51,0.04690916836261749
4,2,50,2,50,0.058948028832674026
4,2,50,1,50,0.09544661827385426
5,2,2500,12,2508,15.218530612066388
5,2,2500,11,2508,26.556523878127337
5,2,2500,10,2500,32.659700660035014
5,2,2500,9,2502,33.53955591470003
5,2,2500,8,2504,41.62312694825232
5,2,2500,7,2506,40.970654875040054
5,2,2500,6,2502,29.180581929162145
5,2,2500,5,2500,30.705121971666813
5,2,2500,4,2500,43.90902301855385
5,2,2500,3,2502,48.59584398753941
5,2,2500,2,2500,91.63346758671105
5,2,2500,1,2500,144.40882631018758
5,2,500,12,504,0.6275078821927309
5,2,500,11,506,1.3652292042970657
5,2,500,10,500,1.386002954095602
5,2,500,9,504,1.3205087557435036
5,2,500,8,504,1.6742250509560108
5,2,500,7,504,1.9514144286513329
5,2,500,6,504,1.214574059471488
5,2,500,5,500,1.3257582038640976
5,2,500,4,500,1.7995814960449934
5,2,500,3,501,2.125321362167597
5,2,500,2,500,4.438842488452792
5,2,500,1,500,5.422692332416773
5,2,50,12,60,0.04988366737961769
5,2,50,11,55,0.10380043089389801
5,2,50,10,50,0.10631987079977989
5,2,50,9,54,0.11662845127284527
5,2,50,8,56,0.09396768361330032
5,2,50,7,56,0.0970819927752018
5,2,50,6,54,0.04195947200059891
5,2,50,5,50,0.053334783762693405
5,2,50,4,52,0.043933553621172905
5,2,50,3,51,0.048715559765696526
5,2,50,2,50,0.05818260461091995
5,2,50,1,50,0.7135116495192051
