i,zad,N,np,real_N,time
3,1,2000,3,2001,54.873246032744646
3,1,2000,2,2000,81.20886851102114
3,1,2000,1,2000,127.33193019591272
3,1,300,20,300,0.2512565925717354
3,1,300,19,304,0.5173615533858538
3,1,300,18,306,0.5595060028135777
3,1,300,17,306,0.5840568915009499
3,1,300,16,304,0.5405691657215357
3,1,300,15,300,0.5824385602027178
3,1,300,14,308,0.6554387714713812
3,1,300,13,312,0.4184495359659195
3,1,300,12,300,0.38432745821774006
3,1,300,11,308,0.45478370785713196
3,1,300,10,300,0.43815572932362556
3,1,300,9,306,0.5666833687573671
3,1,300,8,304,0.5727813877165318
3,1,300,7,301,0.623004499822855
3,1,300,6,300,0.7149801086634398
3,1,300,5,300,0.7731431219726801
3,1,300,4,300,1.0527603048831224
3,1,300,3,300,1.3292856756597757
3,1,300,2,300,1.9509706906974316
3,1,300,1,300,3.8844842985272408
3,1,50,20,60,0.0411138366907835
3,1,50,19,57,0.15553551353514194
3,1,50,18,54,0.12801857851445675
3,1,50,17,51,0.10466542467474937
3,1,50,16,64,0.12012828700244427
3,1,50,15,60,0.10416695103049278
3,1,50,14,56,0.09370651841163635
3,1,50,13,52,0.04197482392191887
3,1,50,12,60,0.04845805838704109
3,1,50,11,55,0.0410931333899498
3,1,50,10,50,0.0392115730792284
3,1,50,9,54,0.0447269044816494
3,1,50,8,56,0.04630873166024685
3,1,50,7,56,0.046495163813233376
3,1,50,6,54,0.04823639430105686
3,1,50,5,50,0.04952679015696049
3,1,50,4,52,0.057585861533880234
3,1,50,3,51,0.0645301565527916
3,1,50,2,50,0.07537728361785412
3,1,50,1,50,0.11919178068637848
4,1,2000,20,2000,9.394329203292727
4,1,2000,19,2014,19.209028454497457
4,1,2000,18,2016,18.92947368323803
4,1,2000,17,2006,19.66462822072208
4,1,2000,16,2000,20.317572014406323
4,1,2000,15,2010,21.860403222963214
4,1,2000,14,2002,23.655057134106755
4,1,2000,13,2002,14.708752322942019
4,1,2000,12,2004,16.981209307909012
4,1,2000,11,2002,17.046316819265485
4,1,2000,10,2000,18.082882007583976
4,1,2000,9,2007,20.23020982183516
4,1,2000,8,2000,22.24896444566548
4,1,2000,7,2002,26.443336175754666
4,1,2000,6,2004,30.322419395670295
4,1,2000,5,2000,34.35994287207723
4,1,2000,4,2000,39.58764945529401
4,1,2000,3,2001,54.41999422200024
4,1,2000,2,2000,85.13417344354093
4,1,2000,1,2000,126.92011903598905
4,1,300,20,300,0.24062536284327507
4,1,300,19,304,0.5253127198666334
4,1,300,18,306,0.5348408557474613
4,1,300,17,306,0.5679230261594057
4,1,300,16,304,0.5413783509284258
4,1,300,15,300,0.5676129143685102
4,1,300,14,308,0.6183033641427755
4,1,300,13,312,0.4070100914686918
4,1,300,12,300,0.391023937612772
